hour_of_year,day,hour_of_day,hour_label,energy_consumed_wh,energy_consumed_kwh,average_power_kw,active_vehicles,active_vehicle_records
0,1,0,year hour 0000,84257.97,84.25797,84.25797,627.0,56190.0
1,1,1,year hour 0001,67763.65,67.76365,67.76365,602.0,52182.0
2,1,2,year hour 0002,67864.3,67.8643,67.8643,601.0,52088.0
3,1,3,year hour 0003,67591.19,67.59119,67.59119,601.0,52786.0
4,1,4,year hour 0004,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
5,1,5,year hour 0005,68040.49,68.04049,68.04049,601.0,53095.0
6,1,6,year hour 0006,71032.18,71.03218,71.03218,607.0,53189.0
7,1,7,year hour 0007,68068.45,68.06845,68.06845,595.0,52165.0
8,1,8,year hour 0008,69069.68000000001,69.06968,69.06968,604.0,53833.0
9,1,9,year hour 0009,67953.64,67.95364,67.95364,604.0,52529.0
10,1,10,year hour 0010,67944.94,67.94494,67.94494,602.0,52535.0
11,1,11,year hour 0011,67802.9,67.8029,67.8029,588.0,52375.0
12,1,12,year hour 0012,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
13,1,13,year hour 0013,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
14,1,14,year hour 0014,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
15,1,15,year hour 0015,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
16,1,16,year hour 0016,69555.96,69.55596,69.55596,608.0,53372.0
17,1,17,year hour 0017,68005.42,68.00542,68.00542,598.0,52153.0
18,1,18,year hour 0018,70931.0,70.931,70.931,607.0,53552.0
19,1,19,year hour 0019,67678.63,67.67863,67.67863,599.0,52674.0
20,1,20,year hour 0020,68076.09,68.07609,68.07609,599.0,52651.0
21,1,21,year hour 0021,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
22,1,22,year hour 0022,67821.74,67.82174,67.82174,604.0,52967.0
23,1,23,year hour 0023,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
24,2,0,year hour 0024,84257.97,84.25797,84.25797,627.0,56190.0
25,2,1,year hour 0025,67763.65,67.76365,67.76365,602.0,52182.0
26,2,2,year hour 0026,67864.3,67.8643,67.8643,601.0,52088.0
27,2,3,year hour 0027,67591.19,67.59119,67.59119,601.0,52786.0
28,2,4,year hour 0028,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
29,2,5,year hour 0029,68040.49,68.04049,68.04049,601.0,53095.0
30,2,6,year hour 0030,71032.18,71.03218,71.03218,607.0,53189.0
31,2,7,year hour 0031,68068.45,68.06845,68.06845,595.0,52165.0
32,2,8,year hour 0032,69069.68000000001,69.06968,69.06968,604.0,53833.0
33,2,9,year hour 0033,67953.64,67.95364,67.95364,604.0,52529.0
34,2,10,year hour 0034,67944.94,67.94494,67.94494,602.0,52535.0
35,2,11,year hour 0035,67802.9,67.8029,67.8029,588.0,52375.0
36,2,12,year hour 0036,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
37,2,13,year hour 0037,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
38,2,14,year hour 0038,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
39,2,15,year hour 0039,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
40,2,16,year hour 0040,69555.96,69.55596,69.55596,608.0,53372.0
41,2,17,year hour 0041,68005.42,68.00542,68.00542,598.0,52153.0
42,2,18,year hour 0042,70931.0,70.931,70.931,607.0,53552.0
43,2,19,year hour 0043,67678.63,67.67863,67.67863,599.0,52674.0
44,2,20,year hour 0044,68076.09,68.07609,68.07609,599.0,52651.0
45,2,21,year hour 0045,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
46,2,22,year hour 0046,67821.74,67.82174,67.82174,604.0,52967.0
47,2,23,year hour 0047,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
48,3,0,year hour 0048,84257.97,84.25797,84.25797,627.0,56190.0
49,3,1,year hour 0049,67763.65,67.76365,67.76365,602.0,52182.0
50,3,2,year hour 0050,67864.3,67.8643,67.8643,601.0,52088.0
51,3,3,year hour 0051,67591.19,67.59119,67.59119,601.0,52786.0
52,3,4,year hour 0052,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
53,3,5,year hour 0053,68040.49,68.04049,68.04049,601.0,53095.0
54,3,6,year hour 0054,71032.18,71.03218,71.03218,607.0,53189.0
55,3,7,year hour 0055,68068.45,68.06845,68.06845,595.0,52165.0
56,3,8,year hour 0056,69069.68000000001,69.06968,69.06968,604.0,53833.0
57,3,9,year hour 0057,67953.64,67.95364,67.95364,604.0,52529.0
58,3,10,year hour 0058,67944.94,67.94494,67.94494,602.0,52535.0
59,3,11,year hour 0059,67802.9,67.8029,67.8029,588.0,52375.0
60,3,12,year hour 0060,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
61,3,13,year hour 0061,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
62,3,14,year hour 0062,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
63,3,15,year hour 0063,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
64,3,16,year hour 0064,69555.96,69.55596,69.55596,608.0,53372.0
65,3,17,year hour 0065,68005.42,68.00542,68.00542,598.0,52153.0
66,3,18,year hour 0066,70931.0,70.931,70.931,607.0,53552.0
67,3,19,year hour 0067,67678.63,67.67863,67.67863,599.0,52674.0
68,3,20,year hour 0068,68076.09,68.07609,68.07609,599.0,52651.0
69,3,21,year hour 0069,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
70,3,22,year hour 0070,67821.74,67.82174,67.82174,604.0,52967.0
71,3,23,year hour 0071,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
72,4,0,year hour 0072,84257.97,84.25797,84.25797,627.0,56190.0
73,4,1,year hour 0073,67763.65,67.76365,67.76365,602.0,52182.0
74,4,2,year hour 0074,67864.3,67.8643,67.8643,601.0,52088.0
75,4,3,year hour 0075,67591.19,67.59119,67.59119,601.0,52786.0
76,4,4,year hour 0076,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
77,4,5,year hour 0077,68040.49,68.04049,68.04049,601.0,53095.0
78,4,6,year hour 0078,71032.18,71.03218,71.03218,607.0,53189.0
79,4,7,year hour 0079,68068.45,68.06845,68.06845,595.0,52165.0
80,4,8,year hour 0080,69069.68000000001,69.06968,69.06968,604.0,53833.0
81,4,9,year hour 0081,67953.64,67.95364,67.95364,604.0,52529.0
82,4,10,year hour 0082,67944.94,67.94494,67.94494,602.0,52535.0
83,4,11,year hour 0083,67802.9,67.8029,67.8029,588.0,52375.0
84,4,12,year hour 0084,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
85,4,13,year hour 0085,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
86,4,14,year hour 0086,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
87,4,15,year hour 0087,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
88,4,16,year hour 0088,69555.96,69.55596,69.55596,608.0,53372.0
89,4,17,year hour 0089,68005.42,68.00542,68.00542,598.0,52153.0
90,4,18,year hour 0090,70931.0,70.931,70.931,607.0,53552.0
91,4,19,year hour 0091,67678.63,67.67863,67.67863,599.0,52674.0
92,4,20,year hour 0092,68076.09,68.07609,68.07609,599.0,52651.0
93,4,21,year hour 0093,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
94,4,22,year hour 0094,67821.74,67.82174,67.82174,604.0,52967.0
95,4,23,year hour 0095,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
96,5,0,year hour 0096,84257.97,84.25797,84.25797,627.0,56190.0
97,5,1,year hour 0097,67763.65,67.76365,67.76365,602.0,52182.0
98,5,2,year hour 0098,67864.3,67.8643,67.8643,601.0,52088.0
99,5,3,year hour 0099,67591.19,67.59119,67.59119,601.0,52786.0
100,5,4,year hour 0100,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
101,5,5,year hour 0101,68040.49,68.04049,68.04049,601.0,53095.0
102,5,6,year hour 0102,71032.18,71.03218,71.03218,607.0,53189.0
103,5,7,year hour 0103,68068.45,68.06845,68.06845,595.0,52165.0
104,5,8,year hour 0104,69069.68000000001,69.06968,69.06968,604.0,53833.0
105,5,9,year hour 0105,67953.64,67.95364,67.95364,604.0,52529.0
106,5,10,year hour 0106,67944.94,67.94494,67.94494,602.0,52535.0
107,5,11,year hour 0107,67802.9,67.8029,67.8029,588.0,52375.0
108,5,12,year hour 0108,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
109,5,13,year hour 0109,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
110,5,14,year hour 0110,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
111,5,15,year hour 0111,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
112,5,16,year hour 0112,69555.96,69.55596,69.55596,608.0,53372.0
113,5,17,year hour 0113,68005.42,68.00542,68.00542,598.0,52153.0
114,5,18,year hour 0114,70931.0,70.931,70.931,607.0,53552.0
115,5,19,year hour 0115,67678.63,67.67863,67.67863,599.0,52674.0
