scenario,agent_id,hour,rule,wanted_shelter,chosen_shelter,target_cell_x,target_cell_y,reason
baseline,0,0,baseline,0,,,,no policy intervention
baseline,1,0,baseline,0,,,,no policy intervention
baseline,2,0,baseline,0,,,,no policy intervention
baseline,3,0,baseline,0,,,,no policy intervention
baseline,4,0,baseline,0,,,,no policy intervention
baseline,5,0,baseline,0,,,,no policy intervention
baseline,6,0,baseline,0,,,,no policy intervention
baseline,7,0,baseline,0,,,,no policy intervention
baseline,8,0,baseline,0,,,,no policy intervention
baseline,9,0,baseline,0,,,,no policy intervention
baseline,10,0,baseline,0,,,,no policy intervention
baseline,11,0,baseline,0,,,,no policy intervention
baseline,12,0,baseline,0,,,,no policy intervention
baseline,13,0,baseline,0,,,,no policy intervention
baseline,14,0,baseline,0,,,,no policy intervention
baseline,15,0,baseline,0,,,,no policy intervention
baseline,16,0,baseline,0,,,,no policy intervention
baseline,17,0,baseline,0,,,,no policy intervention
baseline,18,0,baseline,0,,,,no policy intervention
baseline,19,0,baseline,0,,,,no policy intervention
baseline,20,0,baseline,0,,,,no policy intervention
baseline,21,0,baseline,0,,,,no policy intervention
baseline,22,0,baseline,0,,,,no policy intervention
baseline,23,0,baseline,0,,,,no policy intervention
baseline,24,0,baseline,0,,,,no policy intervention
baseline,25,0,baseline,0,,,,no policy intervention
baseline,26,0,baseline,0,,,,no policy intervention
baseline,27,0,baseline,0,,,,no policy intervention
baseline,28,0,baseline,0,,,,no policy intervention
baseline,29,0,baseline,0,,,,no policy intervention
baseline,30,0,baseline,0,,,,no policy intervention
baseline,31,0,baseline,0,,,,no policy intervention
baseline,32,0,baseline,0,,,,no policy intervention
baseline,33,0,baseline,0,,,,no policy intervention
baseline,34,0,baseline,0,,,,no policy intervention
baseline,35,0,baseline,0,,,,no policy intervention
baseline,36,0,baseline,0,,,,no policy intervention
baseline,37,0,baseline,0,,,,no policy intervention
baseline,38,0,baseline,0,,,,no policy intervention
baseline,39,0,baseline,0,,,,no policy intervention
baseline,40,0,baseline,0,,,,no policy intervention
baseline,41,0,baseline,0,,,,no policy intervention
baseline,42,0,baseline,0,,,,no policy intervention
baseline,43,0,baseline,0,,,,no policy intervention
baseline,44,0,baseline,0,,,,no policy intervention
baseline,45,0,baseline,0,,,,no policy intervention
baseline,46,0,baseline,0,,,,no policy intervention
baseline,47,0,baseline,0,,,,no policy intervention
baseline,48,0,baseline,0,,,,no policy intervention
baseline,49,0,baseline,0,,,,no policy intervention
baseline,50,0,baseline,0,,,,no policy intervention
baseline,51,0,baseline,0,,,,no policy intervention
baseline,52,0,baseline,0,,,,no policy intervention
baseline,53,0,baseline,0,,,,no policy intervention
baseline,54,0,baseline,0,,,,no policy intervention
baseline,55,0,baseline,0,,,,no policy intervention
baseline,56,0,baseline,0,,,,no policy intervention
baseline,57,0,baseline,0,,,,no policy intervention
baseline,58,0,baseline,0,,,,no policy intervention
baseline,59,0,baseline,0,,,,no policy intervention
baseline,60,0,baseline,0,,,,no policy intervention
baseline,61,0,baseline,0,,,,no policy intervention
baseline,62,0,baseline,0,,,,no policy intervention
baseline,63,0,baseline,0,,,,no policy intervention
baseline,64,0,baseline,0,,,,no policy intervention
baseline,65,0,baseline,0,,,,no policy intervention
baseline,66,0,baseline,0,,,,no policy intervention
baseline,67,0,baseline,0,,,,no policy intervention
baseline,68,0,baseline,0,,,,no policy intervention
baseline,69,0,baseline,0,,,,no policy intervention
baseline,70,0,baseline,0,,,,no policy intervention
baseline,71,0,baseline,0,,,,no policy intervention
baseline,72,0,baseline,0,,,,no policy intervention
baseline,73,0,baseline,0,,,,no policy intervention
baseline,74,0,baseline,0,,,,no policy intervention
baseline,75,0,baseline,0,,,,no policy intervention
baseline,76,0,baseline,0,,,,no policy intervention
baseline,77,0,baseline,0,,,,no policy intervention
baseline,78,0,baseline,0,,,,no policy intervention
baseline,79,0,baseline,0,,,,no policy intervention
baseline,80,0,baseline,0,,,,no policy intervention
baseline,81,0,baseline,0,,,,no policy intervention
baseline,82,0,baseline,0,,,,no policy intervention
baseline,83,0,baseline,0,,,,no policy intervention
baseline,84,0,baseline,0,,,,no policy intervention
baseline,85,0,baseline,0,,,,no policy intervention
baseline,86,0,baseline,0,,,,no policy intervention
baseline,87,0,baseline,0,,,,no policy intervention
baseline,88,0,baseline,0,,,,no policy intervention
baseline,89,0,baseline,0,,,,no policy intervention
baseline,90,0,baseline,0,,,,no policy intervention
baseline,91,0,baseline,0,,,,no policy intervention
baseline,92,0,baseline,0,,,,no policy intervention
baseline,93,0,baseline,0,,,,no policy intervention
baseline,94,0,baseline,0,,,,no policy intervention
baseline,95,0,baseline,0,,,,no policy intervention
baseline,96,0,baseline,0,,,,no policy intervention
baseline,97,0,baseline,0,,,,no policy intervention
baseline,98,0,baseline,0,,,,no policy intervention
baseline,99,0,baseline,0,,,,no policy intervention
baseline,100,0,baseline,0,,,,no policy intervention
baseline,101,0,baseline,0,,,,no policy intervention
baseline,102,0,baseline,0,,,,no policy intervention
baseline,103,0,baseline,0,,,,no policy intervention
baseline,104,0,baseline,0,,,,no policy intervention
baseline,105,0,baseline,0,,,,no policy intervention
baseline,106,0,baseline,0,,,,no policy intervention
baseline,107,0,baseline,0,,,,no policy intervention
baseline,108,0,baseline,0,,,,no policy intervention
baseline,109,0,baseline,0,,,,no policy intervention
baseline,110,0,baseline,0,,,,no policy intervention
baseline,111,0,baseline,0,,,,no policy intervention
baseline,112,0,baseline,0,,,,no policy intervention
baseline,113,0,baseline,0,,,,no policy intervention
baseline,114,0,baseline,0,,,,no policy intervention
baseline,115,0,baseline,0,,,,no policy intervention
baseline,116,0,baseline,0,,,,no policy intervention
baseline,117,0,baseline,0,,,,no policy intervention
baseline,118,0,baseline,0,,,,no policy intervention
baseline,119,0,baseline,0,,,,no policy intervention
baseline,120,0,baseline,0,,,,no policy intervention
baseline,121,0,baseline,0,,,,no policy intervention
baseline,122,0,baseline,0,,,,no policy intervention
baseline,123,0,baseline,0,,,,no policy intervention
baseline,124,0,baseline,0,,,,no policy intervention
baseline,125,0,baseline,0,,,,no policy intervention
baseline,126,0,baseline,0,,,,no policy intervention
baseline,127,0,baseline,0,,,,no policy intervention
baseline,128,0,baseline,0,,,,no policy intervention
baseline,129,0,baseline,0,,,,no policy intervention
baseline,130,0,baseline,0,,,,no policy intervention
baseline,131,0,baseline,0,,,,no policy intervention
baseline,132,0,baseline,0,,,,no policy intervention
baseline,133,0,baseline,0,,,,no policy intervention
baseline,134,0,baseline,0,,,,no policy intervention
baseline,135,0,baseline,0,,,,no policy intervention
baseline,136,0,baseline,0,,,,no policy intervention
baseline,137,0,baseline,0,,,,no policy intervention
baseline,138,0,baseline,0,,,,no policy intervention
baseline,139,0,baseline,0,,,,no policy intervention
baseline,140,0,baseline,0,,,,no policy intervention
baseline,141,0,baseline,0,,,,no policy intervention
baseline,142,0,baseline,0,,,,no policy intervention
baseline,143,0,baseline,0,,,,no policy intervention
baseline,144,0,baseline,0,,,,no policy intervention
baseline,145,0,baseline,0,,,,no policy intervention
baseline,146,0,baseline,0,,,,no policy intervention
baseline,147,0,baseline,0,,,,no policy intervention
baseline,148,0,baseline,0,,,,no policy intervention
baseline,149,0,baseline,0,,,,no policy intervention
baseline,150,0,baseline,0,,,,no policy intervention
baseline,151,0,baseline,0,,,,no policy intervention
baseline,152,0,baseline,0,,,,no policy intervention
baseline,153,0,baseline,0,,,,no policy intervention
baseline,154,0,baseline,0,,,,no policy intervention
baseline,155,0,baseline,0,,,,no policy intervention
baseline,156,0,baseline,0,,,,no policy intervention
baseline,157,0,baseline,0,,,,no policy intervention
baseline,158,0,baseline,0,,,,no policy intervention
baseline,159,0,baseline,0,,,,no policy intervention
baseline,160,0,baseline,0,,,,no policy intervention
baseline,161,0,baseline,0,,,,no policy intervention
baseline,162,0,baseline,0,,,,no policy intervention
baseline,163,0,baseline,0,,,,no policy intervention
baseline,164,0,baseline,0,,,,no policy intervention
baseline,165,0,baseline,0,,,,no policy intervention
baseline,166,0,baseline,0,,,,no policy intervention
baseline,167,0,baseline,0,,,,no policy intervention
baseline,168,0,baseline,0,,,,no policy intervention
baseline,169,0,baseline,0,,,,no policy intervention
baseline,170,0,baseline,0,,,,no policy intervention
baseline,171,0,baseline,0,,,,no policy intervention
baseline,172,0,baseline,0,,,,no policy intervention
baseline,173,0,baseline,0,,,,no policy intervention
baseline,174,0,baseline,0,,,,no policy intervention
baseline,175,0,baseline,0,,,,no policy intervention
baseline,176,0,baseline,0,,,,no policy intervention
baseline,177,0,baseline,0,,,,no policy intervention
baseline,178,0,baseline,0,,,,no policy intervention
baseline,179,0,baseline,0,,,,no policy intervention
baseline,180,0,baseline,0,,,,no policy intervention
baseline,181,0,baseline,0,,,,no policy intervention
baseline,182,0,baseline,0,,,,no policy intervention
baseline,183,0,baseline,0,,,,no policy intervention
baseline,184,0,baseline,0,,,,no policy intervention
baseline,185,0,baseline,0,,,,no policy intervention
baseline,186,0,baseline,0,,,,no policy intervention
baseline,187,0,baseline,0,,,,no policy intervention
baseline,188,0,baseline,0,,,,no policy intervention
baseline,189,0,baseline,0,,,,no policy intervention
baseline,190,0,baseline,0,,,,no policy intervention
baseline,191,0,baseline,0,,,,no policy intervention
baseline,192,0,baseline,0,,,,no policy intervention
baseline,193,0,baseline,0,,,,no policy intervention
baseline,194,0,baseline,0,,,,no policy intervention
baseline,195,0,baseline,0,,,,no policy intervention
baseline,196,0,baseline,0,,,,no policy intervention
baseline,197,0,baseline,0,,,,no policy intervention
baseline,198,0,baseline,0,,,,no policy intervention
baseline,199,0,baseline,0,,,,no policy intervention
baseline,200,0,baseline,0,,,,no policy intervention
baseline,201,0,baseline,0,,,,no policy intervention
baseline,202,0,baseline,0,,,,no policy intervention
baseline,203,0,baseline,0,,,,no policy intervention
baseline,204,0,baseline,0,,,,no policy intervention
baseline,205,0,baseline,0,,,,no policy intervention
baseline,206,0,baseline,0,,,,no policy intervention
baseline,207,0,baseline,0,,,,no policy intervention
baseline,208,0,baseline,0,,,,no policy intervention
baseline,209,0,baseline,0,,,,no policy intervention
baseline,210,0,baseline,0,,,,no policy intervention
baseline,211,0,baseline,0,,,,no policy intervention
baseline,212,0,baseline,0,,,,no policy intervention
baseline,213,0,baseline,0,,,,no policy intervention
baseline,214,0,baseline,0,,,,no policy intervention
baseline,215,0,baseline,0,,,,no policy intervention
baseline,216,0,baseline,0,,,,no policy intervention
baseline,217,0,baseline,0,,,,no policy intervention
baseline,218,0,baseline,0,,,,no policy intervention
baseline,219,0,baseline,0,,,,no policy intervention
baseline,220,0,baseline,0,,,,no policy intervention
baseline,221,0,baseline,0,,,,no policy intervention
baseline,222,0,baseline,0,,,,no policy intervention
baseline,223,0,baseline,0,,,,no policy intervention
baseline,224,0,baseline,0,,,,no policy intervention
baseline,225,0,baseline,0,,,,no policy intervention
baseline,226,0,baseline,0,,,,no policy intervention
baseline,227,0,baseline,0,,,,no policy intervention
baseline,228,0,baseline,0,,,,no policy intervention
baseline,229,0,baseline,0,,,,no policy intervention
baseline,230,0,baseline,0,,,,no policy intervention
baseline,231,0,baseline,0,,,,no policy intervention
baseline,232,0,baseline,0,,,,no policy intervention
baseline,233,0,baseline,0,,,,no policy intervention
baseline,234,0,baseline,0,,,,no policy intervention
baseline,235,0,baseline,0,,,,no policy intervention
baseline,236,0,baseline,0,,,,no policy intervention
baseline,237,0,baseline,0,,,,no policy intervention
baseline,238,0,baseline,0,,,,no policy intervention
baseline,239,0,baseline,0,,,,no policy intervention
baseline,0,1,baseline,0,,,,no policy intervention
baseline,1,1,baseline,0,,,,no policy intervention
baseline,2,1,baseline,0,,,,no policy intervention
baseline,3,1,baseline,0,,,,no policy intervention
baseline,4,1,baseline,0,,,,no policy intervention
baseline,5,1,baseline,0,,,,no policy intervention
baseline,6,1,baseline,0,,,,no policy intervention
baseline,7,1,baseline,0,,,,no policy intervention
baseline,8,1,baseline,0,,,,no policy intervention
baseline,9,1,baseline,0,,,,no policy intervention
baseline,10,1,baseline,0,,,,no policy intervention
baseline,11,1,baseline,0,,,,no policy intervention
baseline,12,1,baseline,0,,,,no policy intervention
baseline,13,1,baseline,0,,,,no policy intervention
baseline,14,1,baseline,0,,,,no policy intervention
baseline,15,1,baseline,0,,,,no policy intervention
baseline,16,1,baseline,0,,,,no policy intervention
baseline,17,1,baseline,0,,,,no policy intervention
baseline,18,1,baseline,0,,,,no policy intervention
baseline,19,1,baseline,0,,,,no policy intervention
baseline,20,1,baseline,0,,,,no policy intervention
baseline,21,1,baseline,0,,,,no policy intervention
baseline,22,1,baseline,0,,,,no policy intervention
baseline,23,1,baseline,0,,,,no policy intervention
baseline,24,1,baseline,0,,,,no policy intervention
baseline,25,1,baseline,0,,,,no policy intervention
baseline,26,1,baseline,0,,,,no policy intervention
baseline,27,1,baseline,0,,,,no policy intervention
baseline,28,1,baseline,0,,,,no policy intervention
baseline,29,1,baseline,0,,,,no policy intervention
baseline,30,1,baseline,0,,,,no policy intervention
baseline,31,1,baseline,0,,,,no policy intervention
baseline,32,1,baseline,0,,,,no policy intervention
baseline,33,1,baseline,0,,,,no policy intervention
baseline,34,1,baseline,0,,,,no policy intervention
baseline,35,1,baseline,0,,,,no policy intervention
baseline,36,1,baseline,0,,,,no policy intervention
baseline,37,1,baseline,0,,,,no policy intervention
baseline,38,1,baseline,0,,,,no policy intervention
baseline,39,1,baseline,0,,,,no policy intervention
baseline,40,1,baseline,0,,,,no policy intervention
baseline,41,1,baseline,0,,,,no policy intervention
baseline,42,1,baseline,0,,,,no policy intervention
baseline,43,1,baseline,0,,,,no policy intervention
baseline,44,1,baseline,0,,,,no policy intervention
baseline,45,1,baseline,0,,,,no policy intervention
baseline,46,1,baseline,0,,,,no policy intervention
baseline,47,1,baseline,0,,,,no policy intervention
baseline,48,1,baseline,0,,,,no policy intervention
baseline,49,1,baseline,0,,,,no policy intervention
baseline,50,1,baseline,0,,,,no policy intervention
baseline,51,1,baseline,0,,,,no policy intervention
baseline,52,1,baseline,0,,,,no policy intervention
baseline,53,1,baseline,0,,,,no policy intervention
baseline,54,1,baseline,0,,,,no policy intervention
baseline,55,1,baseline,0,,,,no policy intervention
baseline,56,1,baseline,0,,,,no policy intervention
baseline,57,1,baseline,0,,,,no policy intervention
baseline,58,1,baseline,0,,,,no policy intervention
baseline,59,1,baseline,0,,,,no policy intervention
baseline,60,1,baseline,0,,,,no policy intervention
baseline,61,1,baseline,0,,,,no policy intervention
baseline,62,1,baseline,0,,,,no policy intervention
baseline,63,1,baseline,0,,,,no policy intervention
baseline,64,1,baseline,0,,,,no policy intervention
baseline,65,1,baseline,0,,,,no policy intervention
baseline,66,1,baseline,0,,,,no policy intervention
baseline,67,1,baseline,0,,,,no policy intervention
baseline,68,1,baseline,0,,,,no policy intervention
baseline,69,1,baseline,0,,,,no policy intervention
baseline,70,1,baseline,0,,,,no policy intervention
baseline,71,1,baseline,0,,,,no policy intervention
baseline,72,1,baseline,0,,,,no policy intervention
baseline,73,1,baseline,0,,,,no policy intervention
baseline,74,1,baseline,0,,,,no policy intervention
baseline,75,1,baseline,0,,,,no policy intervention
baseline,76,1,baseline,0,,,,no policy intervention
baseline,77,1,baseline,0,,,,no policy intervention
baseline,78,1,baseline,0,,,,no policy intervention
baseline,79,1,baseline,0,,,,no policy intervention
baseline,80,1,baseline,0,,,,no policy intervention
baseline,81,1,baseline,0,,,,no policy intervention
baseline,82,1,baseline,0,,,,no policy intervention
baseline,83,1,baseline,0,,,,no policy intervention
baseline,84,1,baseline,0,,,,no policy intervention
baseline,85,1,baseline,0,,,,no policy intervention
baseline,86,1,baseline,0,,,,no policy intervention
baseline,87,1,baseline,0,,,,no policy intervention
baseline,88,1,baseline,0,,,,no policy intervention
baseline,89,1,baseline,0,,,,no policy intervention
baseline,90,1,baseline,0,,,,no policy intervention
baseline,91,1,baseline,0,,,,no policy intervention
baseline,92,1,baseline,0,,,,no policy intervention
baseline,93,1,baseline,0,,,,no policy intervention
baseline,94,1,baseline,0,,,,no policy intervention
baseline,95,1,baseline,0,,,,no policy intervention
baseline,96,1,baseline,0,,,,no policy intervention
baseline,97,1,baseline,0,,,,no policy intervention
baseline,98,1,baseline,0,,,,no policy intervention
baseline,99,1,baseline,0,,,,no policy intervention
baseline,100,1,baseline,0,,,,no policy intervention
baseline,101,1,baseline,0,,,,no policy intervention
baseline,102,1,baseline,0,,,,no policy intervention
baseline,103,1,baseline,0,,,,no policy intervention
baseline,104,1,baseline,0,,,,no policy intervention
baseline,105,1,baseline,0,,,,no policy intervention
baseline,106,1,baseline,0,,,,no policy intervention
baseline,107,1,baseline,0,,,,no policy intervention
baseline,108,1,baseline,0,,,,no policy intervention
baseline,109,1,baseline,0,,,,no policy intervention
baseline,110,1,baseline,0,,,,no policy intervention
baseline,111,1,baseline,0,,,,no policy intervention
baseline,112,1,baseline,0,,,,no policy intervention
baseline,113,1,baseline,0,,,,no policy intervention
baseline,114,1,baseline,0,,,,no policy intervention
baseline,115,1,baseline,0,,,,no policy intervention
baseline,116,1,baseline,0,,,,no policy intervention
baseline,117,1,baseline,0,,,,no policy intervention
baseline,118,1,baseline,0,,,,no policy intervention
