scenario,agent_id,hour,rule,wanted_shelter,chosen_shelter,target_cell_x,target_cell_y,reason
proactive,0,0,proactive,0,,,,"no action: vuln 0.54, forecast 0.00, exposure 0.03"
proactive,1,0,proactive,0,,,,"no action: vuln 0.54, forecast 0.20, exposure 0.17"
proactive,2,0,proactive,0,,,,"no action: vuln 0.72, forecast 0.00, exposure 0.00"
proactive,3,0,proactive,0,,,,"no action: vuln 0.22, forecast 0.17, exposure 0.16"
proactive,4,0,proactive,0,,,,"no action: vuln 0.18, forecast 0.45, exposure 0.48"
proactive,5,0,proactive,0,,,,"no action: vuln 0.77, forecast 0.47, exposure 0.46"
proactive,6,0,proactive,0,,,,"no action: vuln 0.69, forecast 0.47, exposure 0.46"
proactive,7,0,proactive,0,,,,"no action: vuln 0.25, forecast 0.44, exposure 0.48"
proactive,8,0,proactive,0,,,,"no action: vuln 0.63, forecast 0.15, exposure 0.24"
proactive,9,0,proactive,0,,,,"no action: vuln 0.29, forecast 0.52, exposure 0.52"
proactive,10,0,proactive,0,,,,"no action: vuln 0.29, forecast 0.56, exposure 0.53"
proactive,11,0,proactive,0,,,,"no action: vuln 0.29, forecast 0.46, exposure 0.45"
proactive,12,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.47, exposure 0.52"
proactive,13,0,proactive,0,,,,"no action: vuln 0.23, forecast 0.20, exposure 0.18"
proactive,14,0,proactive,0,,,,"no action: vuln 0.23, forecast 0.13, exposure 0.23"
proactive,15,0,proactive,0,,,,"no action: vuln 0.49, forecast 0.57, exposure 0.52"
proactive,16,0,proactive,0,,,,"no action: vuln 0.73, forecast 0.00, exposure 0.00"
proactive,17,0,proactive,0,,,,"no action: vuln 0.69, forecast 0.00, exposure 0.00"
proactive,18,0,proactive,0,,,,"no action: vuln 0.27, forecast 0.40, exposure 0.39"
proactive,19,0,proactive,0,,,,"no action: vuln 0.59, forecast 0.02, exposure 0.01"
proactive,20,0,proactive,0,,,,"no action: vuln 0.20, forecast 0.15, exposure 0.24"
proactive,21,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.56, exposure 0.53"
proactive,22,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.48, exposure 0.54"
proactive,23,0,proactive,0,,,,"no action: vuln 0.69, forecast 0.27, exposure 0.18"
proactive,24,0,proactive,0,,,,"no action: vuln 0.37, forecast 0.47, exposure 0.54"
proactive,25,0,proactive,0,,,,"no action: vuln 0.24, forecast 0.13, exposure 0.17"
proactive,26,0,proactive,0,,,,"no action: vuln 0.30, forecast 0.12, exposure 0.27"
proactive,27,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.46, exposure 0.45"
proactive,28,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.50, exposure 0.45"
proactive,29,0,proactive,0,,,,"no action: vuln 0.32, forecast 0.00, exposure 0.00"
proactive,30,0,proactive,0,,,,"no action: vuln 0.16, forecast 0.13, exposure 0.17"
proactive,31,0,proactive,0,,,,"no action: vuln 0.55, forecast 0.43, exposure 0.48"
proactive,32,0,proactive,0,,,,"no action: vuln 0.25, forecast 0.12, exposure 0.18"
proactive,33,0,proactive,0,,,,"no action: vuln 0.32, forecast 0.51, exposure 0.47"
proactive,34,0,proactive,0,,,,"no action: vuln 0.66, forecast 0.00, exposure 0.00"
proactive,35,0,proactive,0,,,,"no action: vuln 0.55, forecast 0.17, exposure 0.27"
proactive,36,0,proactive,0,,,,"no action: vuln 0.29, forecast 0.00, exposure 0.00"
proactive,37,0,proactive,0,,,,"no action: vuln 0.86, forecast 0.50, exposure 0.45"
proactive,38,0,proactive,0,,,,"no action: vuln 0.24, forecast 0.44, exposure 0.48"
proactive,39,0,proactive,0,,,,"no action: vuln 0.25, forecast 0.12, exposure 0.19"
proactive,40,0,proactive,0,,,,"no action: vuln 0.58, forecast 0.51, exposure 0.46"
proactive,41,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.06, exposure 0.00"
proactive,42,0,proactive,0,,,,"no action: vuln 0.94, forecast 0.44, exposure 0.48"
proactive,43,0,proactive,0,,,,"no action: vuln 0.22, forecast 0.17, exposure 0.13"
proactive,44,0,proactive,0,,,,"no action: vuln 0.54, forecast 0.11, exposure 0.19"
proactive,45,0,proactive,0,,,,"no action: vuln 0.18, forecast 0.46, exposure 0.47"
proactive,46,0,proactive,0,,,,"no action: vuln 0.27, forecast 0.48, exposure 0.54"
proactive,47,0,proactive,0,,,,"no action: vuln 0.30, forecast 0.21, exposure 0.19"
proactive,48,0,proactive,0,,,,"no action: vuln 0.24, forecast 0.00, exposure 0.00"
proactive,49,0,proactive,0,,,,"no action: vuln 0.76, forecast 0.42, exposure 0.47"
proactive,50,0,proactive,0,,,,"no action: vuln 0.42, forecast 0.00, exposure 0.00"
proactive,51,0,proactive,0,,,,"no action: vuln 0.21, forecast 0.52, exposure 0.52"
proactive,52,0,proactive,0,,,,"no action: vuln 0.32, forecast 0.41, exposure 0.35"
proactive,53,0,proactive,0,,,,"no action: vuln 0.26, forecast 0.00, exposure 0.00"
proactive,54,0,proactive,0,,,,"no action: vuln 0.21, forecast 0.46, exposure 0.51"
proactive,55,0,proactive,0,,,,"no action: vuln 0.30, forecast 0.15, exposure 0.19"
proactive,56,0,proactive,0,,,,"no action: vuln 0.74, forecast 0.46, exposure 0.51"
proactive,57,0,proactive,0,,,,"no action: vuln 0.22, forecast 0.01, exposure 0.02"
proactive,58,0,proactive,0,,,,"no action: vuln 0.31, forecast 0.57, exposure 0.48"
proactive,59,0,proactive,0,,,,"no action: vuln 0.22, forecast 0.18, exposure 0.26"
proactive,60,0,proactive,0,,,,"no action: vuln 0.52, forecast 0.51, exposure 0.42"
proactive,61,0,proactive,0,,,,"no action: vuln 0.23, forecast 0.25, exposure 0.20"
proactive,62,0,proactive,0,,,,"no action: vuln 0.78, forecast 0.17, exposure 0.20"
proactive,63,0,proactive,0,,,,"no action: vuln 0.77, forecast 0.00, exposure 0.00"
