scenario,agent_id,hour,rule,wanted_shelter,chosen_shelter,target_cell_x,target_cell_y,reason
reactive,0,0,reactive,0,,,,exposure 0.03 <= trigger 1.0
reactive,1,0,reactive,0,,,,exposure 0.17 <= trigger 1.0
reactive,2,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,3,0,reactive,0,,,,exposure 0.16 <= trigger 1.0
reactive,4,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,5,0,reactive,0,,,,exposure 0.46 <= trigger 1.0
reactive,6,0,reactive,0,,,,exposure 0.46 <= trigger 1.0
reactive,7,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,8,0,reactive,0,,,,exposure 0.24 <= trigger 1.0
reactive,9,0,reactive,0,,,,exposure 0.52 <= trigger 1.0
reactive,10,0,reactive,0,,,,exposure 0.53 <= trigger 1.0
reactive,11,0,reactive,0,,,,exposure 0.45 <= trigger 1.0
reactive,12,0,reactive,0,,,,exposure 0.52 <= trigger 1.0
reactive,13,0,reactive,0,,,,exposure 0.18 <= trigger 1.0
reactive,14,0,reactive,0,,,,exposure 0.23 <= trigger 1.0
reactive,15,0,reactive,0,,,,exposure 0.52 <= trigger 1.0
reactive,16,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,17,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,18,0,reactive,0,,,,exposure 0.39 <= trigger 1.0
reactive,19,0,reactive,0,,,,exposure 0.01 <= trigger 1.0
reactive,20,0,reactive,0,,,,exposure 0.24 <= trigger 1.0
reactive,21,0,reactive,0,,,,exposure 0.53 <= trigger 1.0
reactive,22,0,reactive,0,,,,exposure 0.54 <= trigger 1.0
reactive,23,0,reactive,0,,,,exposure 0.18 <= trigger 1.0
reactive,24,0,reactive,0,,,,exposure 0.54 <= trigger 1.0
reactive,25,0,reactive,0,,,,exposure 0.17 <= trigger 1.0
reactive,26,0,reactive,0,,,,exposure 0.27 <= trigger 1.0
reactive,27,0,reactive,0,,,,exposure 0.45 <= trigger 1.0
reactive,28,0,reactive,0,,,,exposure 0.45 <= trigger 1.0
reactive,29,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,30,0,reactive,0,,,,exposure 0.17 <= trigger 1.0
reactive,31,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,32,0,reactive,0,,,,exposure 0.18 <= trigger 1.0
reactive,33,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,34,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,35,0,reactive,0,,,,exposure 0.27 <= trigger 1.0
reactive,36,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,37,0,reactive,0,,,,exposure 0.45 <= trigger 1.0
reactive,38,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,39,0,reactive,0,,,,exposure 0.19 <= trigger 1.0
reactive,40,0,reactive,0,,,,exposure 0.46 <= trigger 1.0
reactive,41,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,42,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,43,0,reactive,0,,,,exposure 0.13 <= trigger 1.0
reactive,44,0,reactive,0,,,,exposure 0.19 <= trigger 1.0
reactive,45,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,46,0,reactive,0,,,,exposure 0.54 <= trigger 1.0
reactive,47,0,reactive,0,,,,exposure 0.19 <= trigger 1.0
reactive,48,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,49,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,50,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,51,0,reactive,0,,,,exposure 0.52 <= trigger 1.0
reactive,52,0,reactive,0,,,,exposure 0.35 <= trigger 1.0
reactive,53,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,54,0,reactive,0,,,,exposure 0.51 <= trigger 1.0
reactive,55,0,reactive,0,,,,exposure 0.19 <= trigger 1.0
reactive,56,0,reactive,0,,,,exposure 0.51 <= trigger 1.0
reactive,57,0,reactive,0,,,,exposure 0.02 <= trigger 1.0
reactive,58,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,59,0,reactive,0,,,,exposure 0.26 <= trigger 1.0
reactive,60,0,reactive,0,,,,exposure 0.42 <= trigger 1.0
reactive,61,0,reactive,0,,,,exposure 0.20 <= trigger 1.0
reactive,62,0,reactive,0,,,,exposure 0.20 <= trigger 1.0
reactive,63,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,64,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,65,0,reactive,0,,,,exposure 0.20 <= trigger 1.0
reactive,66,0,reactive,0,,,,exposure 0.50 <= trigger 1.0
reactive,67,0,reactive,0,,,,exposure 0.43 <= trigger 1.0
reactive,68,0,reactive,0,,,,exposure 0.12 <= trigger 1.0
reactive,69,0,reactive,0,,,,exposure 0.12 <= trigger 1.0
reactive,70,0,reactive,0,,,,exposure 0.14 <= trigger 1.0
reactive,71,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,72,0,reactive,0,,,,exposure 0.40 <= trigger 1.0
reactive,73,0,reactive,0,,,,exposure 0.17 <= trigger 1.0
reactive,74,0,reactive,0,,,,exposure 0.56 <= trigger 1.0
reactive,75,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,76,0,reactive,0,,,,exposure 0.14 <= trigger 1.0
reactive,77,0,reactive,0,,,,exposure 0.13 <= trigger 1.0
reactive,78,0,reactive,0,,,,exposure 0.06 <= trigger 1.0
reactive,79,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,80,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,81,0,reactive,0,,,,exposure 0.49 <= trigger 1.0
reactive,82,0,reactive,0,,,,exposure 0.51 <= trigger 1.0
reactive,83,0,reactive,0,,,,exposure 0.46 <= trigger 1.0
reactive,84,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,85,0,reactive,0,,,,exposure 0.04 <= trigger 1.0
reactive,86,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,87,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,88,0,reactive,0,,,,exposure 0.11 <= trigger 1.0
reactive,89,0,reactive,0,,,,exposure 0.53 <= trigger 1.0
reactive,90,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,91,0,reactive,0,,,,exposure 0.03 <= trigger 1.0
reactive,92,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,93,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,94,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,95,0,reactive,0,,,,exposure 0.15 <= trigger 1.0
reactive,96,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,97,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,98,0,reactive,0,,,,exposure 0.46 <= trigger 1.0
reactive,99,0,reactive,0,,,,exposure 0.02 <= trigger 1.0
reactive,100,0,reactive,0,,,,exposure 0.10 <= trigger 1.0
reactive,101,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,102,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,103,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,104,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,105,0,reactive,0,,,,exposure 0.45 <= trigger 1.0
reactive,106,0,reactive,0,,,,exposure 0.48 <= trigger 1.0
reactive,107,0,reactive,0,,,,exposure 0.51 <= trigger 1.0
reactive,108,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,109,0,reactive,0,,,,exposure 0.01 <= trigger 1.0
reactive,110,0,reactive,0,,,,exposure 0.26 <= trigger 1.0
reactive,111,0,reactive,0,,,,exposure 0.27 <= trigger 1.0
reactive,112,0,reactive,0,,,,exposure 0.52 <= trigger 1.0
reactive,113,0,reactive,0,,,,exposure 0.39 <= trigger 1.0
reactive,114,0,reactive,0,,,,exposure 0.05 <= trigger 1.0
reactive,115,0,reactive,0,,,,exposure 0.26 <= trigger 1.0
reactive,116,0,reactive,0,,,,exposure 0.55 <= trigger 1.0
reactive,117,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,118,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,119,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,120,0,reactive,0,,,,exposure 0.17 <= trigger 1.0
reactive,121,0,reactive,0,,,,exposure 0.23 <= trigger 1.0
reactive,122,0,reactive,0,,,,exposure 0.19 <= trigger 1.0
reactive,123,0,reactive,0,,,,exposure 0.55 <= trigger 1.0
reactive,124,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,125,0,reactive,0,,,,exposure 0.47 <= trigger 1.0
reactive,126,0,reactive,0,,,,exposure 0.20 <= trigger 1.0
reactive,127,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,128,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,129,0,reactive,0,,,,exposure 0.51 <= trigger 1.0
reactive,130,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,131,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,132,0,reactive,0,,,,exposure 0.16 <= trigger 1.0
reactive,133,0,reactive,0,,,,exposure 0.00 <= trigger 1.0
reactive,134,0,reactive,0,,,,exposure 0.42 <= trigger 1.0
reactive,135,0,reactive,0,,,,exposure 0.41 <= trigger 1.0
reactive,136,0,reactive,0,,,,exposure 0.08 <= trigger 1.0
reactive,137,0,reactive,0,,,,exposure 0.52 <= trigger 1.0
reactive,138,0,reactive,0,,,,exposure 0.20 <= trigger 1.0
reactive,139,0,reactive,0,,,,exposure 0.54 <= trigger 1.0
reactive,140,0,reactive,0,,,,exposure 0.20 <= trigger 1.0
reactive,141,0,reactive,0,,,,exposure 0.42 <= trigger 1.0
