scenario,agent_id,hour,vulnerability_score,age_bucket,cell_x,cell_y,raw_heat,effective_exposure,in_shelter,shelter_building_id
baseline,0,0,0.5380812195557422,child,8,9,0.0327,0.0327,0,
baseline,1,0,0.5438885528571922,child,16,5,0.1684,0.1684,0,
baseline,2,0,0.7202561588196462,elderly,19,8,0.0,0.0,0,
baseline,3,0,0.216473321571373,adult,14,3,0.1603,0.1603,0,
baseline,4,0,0.179291256914281,adult,15,1,0.4837,0.4837,0,
baseline,5,0,0.7742080791371789,elderly,13,0,0.4577,0.4577,0,
baseline,6,0,0.6860132284779408,elderly,17,0,0.4624,0.4624,0,
baseline,7,0,0.24933523196076668,adult,3,1,0.4761,0.4761,0,
baseline,8,0,0.6343234811450121,child,6,6,0.2449,0.2449,0,
baseline,9,0,0.2937927377360272,adult,1,1,0.5178,0.5178,0,
baseline,10,0,0.29067965400666446,adult,9,1,0.5334,0.5334,0,
baseline,11,0,0.29337902378575376,adult,11,2,0.4483,0.4483,0,
baseline,12,0,0.2580821854764632,adult,8,2,0.5176,0.5176,0,
baseline,13,0,0.23208808428151181,adult,7,6,0.1836,0.1836,0,
baseline,14,0,0.22746461649058938,adult,5,5,0.2341,0.2341,0,
baseline,15,0,0.4919996898463789,child,16,1,0.5169,0.5169,0,
baseline,16,0,0.7297879386484595,child,14,9,0.0007,0.0007,0,
baseline,17,0,0.6910243835711712,elderly,9,9,0.0,0.0,0,
baseline,18,0,0.27290224990437284,adult,12,4,0.3934,0.3934,0,
baseline,19,0,0.5918994514851882,child,11,9,0.0096,0.0096,0,
baseline,20,0,0.20000931813748296,adult,6,6,0.2449,0.2449,0,
baseline,21,0,0.2566225962051309,adult,9,1,0.5334,0.5334,0,
baseline,22,0,0.2636593411524598,adult,11,0,0.5351,0.5351,0,
baseline,23,0,0.6949427075347202,child,0,4,0.1773,0.1773,0,
baseline,24,0,0.36652485810151314,adult,13,1,0.5389,0.5389,0,
baseline,25,0,0.2443193234562278,adult,6,4,0.171,0.171,0,
baseline,26,0,0.3010033863387559,adult,13,5,0.2721,0.2721,0,
baseline,27,0,0.264862699158784,adult,11,2,0.4483,0.4483,0,
baseline,28,0,0.25879019854094,adult,3,2,0.4511,0.4511,0,
baseline,29,0,0.31974955111962444,adult,1,7,0.0,0.0,0,
baseline,30,0,0.1555928571749553,adult,6,4,0.171,0.171,0,
baseline,31,0,0.548458082951535,child,8,1,0.4848,0.4848,0,
baseline,32,0,0.2544761312097897,adult,18,3,0.1849,0.1849,0,
baseline,33,0,0.3227939887511161,adult,12,1,0.4704,0.4704,0,
baseline,34,0,0.6558716694259125,child,6,8,0.0,0.0,0,
baseline,35,0,0.5492700374659585,child,4,4,0.2679,0.2679,0,
baseline,36,0,0.28742961388729216,adult,9,8,0.0,0.0,0,
baseline,37,0,0.862770385621313,elderly,3,2,0.4511,0.4511,0,
baseline,38,0,0.23693857704201632,adult,9,5,0.4792,0.4792,0,
baseline,39,0,0.2454791545887237,adult,5,4,0.1906,0.1906,0,
baseline,40,0,0.583334998890488,child,10,1,0.455,0.455,0,
baseline,41,0,0.2636638551640602,adult,13,9,0.0,0.0,0,
baseline,42,0,0.9350941601422765,elderly,3,1,0.4761,0.4761,0,
baseline,43,0,0.21562936030731708,adult,1,6,0.1328,0.1328,0,
baseline,44,0,0.5397436170004551,child,19,3,0.193,0.193,0,
baseline,45,0,0.18354442553252845,adult,17,2,0.473,0.473,0,
baseline,46,0,0.27255587776068274,adult,11,0,0.5351,0.5351,0,
baseline,47,0,0.30152879677991906,adult,6,5,0.1902,0.1902,0,
baseline,48,0,0.2424720207354753,adult,12,8,0.0,0.0,0,
baseline,49,0,0.7645513584523809,elderly,18,1,0.4746,0.4746,0,
baseline,50,0,0.41514306586559097,adult,9,8,0.0,0.0,0,
baseline,51,0,0.2061884568547753,adult,1,1,0.5178,0.5178,0,
baseline,52,0,0.31853752554381776,adult,12,3,0.3501,0.3501,0,
baseline,53,0,0.2638404878487771,adult,17,7,0.0,0.0,0,
baseline,54,0,0.21400695401395703,adult,4,0,0.5055,0.5055,0,
baseline,55,0,0.3026292881022382,adult,17,3,0.1929,0.1929,0,
baseline,56,0,0.7372548908762495,elderly,4,0,0.5055,0.5055,0,
baseline,57,0,0.2208870448850433,adult,18,8,0.0191,0.0191,0,
baseline,58,0,0.3144823244892736,adult,7,2,0.4768,0.4768,0,
baseline,59,0,0.22063955497119142,adult,14,6,0.2629,0.2629,0,
baseline,60,0,0.5166058535491507,child,10,5,0.4188,0.4188,0,
baseline,61,0,0.23464792877787313,adult,7,3,0.1951,0.1951,0,
baseline,62,0,0.7780271499327811,elderly,15,3,0.2004,0.2004,0,
baseline,63,0,0.7701272985546185,elderly,15,7,0.0,0.0,0,
baseline,64,0,0.260395348860413,adult,3,9,0.0,0.0,0,
baseline,65,0,0.18124989624959473,adult,0,6,0.203,0.203,0,
baseline,66,0,0.7479987221088478,elderly,14,2,0.4974,0.4974,0,
baseline,67,0,0.2747694705910339,adult,19,0,0.4309,0.4309,0,
baseline,68,0,0.2623728676439467,adult,13,3,0.1232,0.1232,0,
baseline,69,0,0.3475954363017591,adult,13,3,0.1232,0.1232,0,
baseline,70,0,0.18683697056304266,adult,17,4,0.1446,0.1446,0,
baseline,71,0,0.2252873014963322,adult,4,8,0.0,0.0,0,
baseline,72,0,0.3073174185068305,adult,11,5,0.3973,0.3973,0,
baseline,73,0,0.28651314785661347,adult,16,5,0.1684,0.1684,0,
baseline,74,0,0.7497164804572996,elderly,10,3,0.5622,0.5622,0,
baseline,75,0,0.8576126643135189,elderly,19,8,0.0,0.0,0,
baseline,76,0,0.24339714453787592,adult,17,4,0.1446,0.1446,0,
baseline,77,0,0.5658695094941405,child,16,3,0.1273,0.1273,0,
baseline,78,0,0.2557292455827229,adult,8,8,0.0583,0.0583,0,
baseline,79,0,0.31274852127145286,adult,2,8,0.0,0.0,0,
baseline,80,0,0.24192319037630758,adult,0,9,0.0,0.0,0,
baseline,81,0,0.7495257436955758,elderly,12,2,0.4941,0.4941,0,
baseline,82,0,0.2094635281564155,adult,13,2,0.5065,0.5065,0,
baseline,83,0,0.2368250785688548,adult,13,0,0.4577,0.4577,0,
baseline,84,0,0.7597628712547879,elderly,14,1,0.4729,0.4729,0,
baseline,85,0,0.2134449412553841,adult,12,7,0.0423,0.0423,0,
baseline,86,0,0.26029034175119803,adult,8,0,0.4786,0.4786,0,
baseline,87,0,0.8739793646798583,elderly,10,0,0.4848,0.4848,0,
baseline,88,0,0.23068402377938965,adult,16,6,0.1119,0.1119,0,
baseline,89,0,0.21593278881496686,adult,11,1,0.526,0.526,0,
baseline,90,0,0.7286621276353521,elderly,8,7,0.0,0.0,0,
baseline,91,0,0.2651344904420061,adult,5,7,0.0334,0.0334,0,
baseline,92,0,0.20377115206369537,adult,14,7,0.0,0.0,0,
baseline,93,0,0.20132533923371512,adult,15,7,0.0,0.0,0,
baseline,94,0,0.7049720665964455,elderly,15,0,0.4653,0.4653,0,
baseline,95,0,0.25100462370739207,adult,1,3,0.1535,0.1535,0,
baseline,96,0,0.4955828490431283,child,15,1,0.4837,0.4837,0,
baseline,97,0,0.27283994893939245,adult,7,8,0.0,0.0,0,
baseline,98,0,0.21712454129440448,adult,10,1,0.455,0.455,0,
baseline,99,0,0.7185461557640977,elderly,9,7,0.0173,0.0173,0,
baseline,100,0,0.4754623971272218,child,4,9,0.1,0.1,0,
baseline,101,0,0.814329171491318,elderly,1,9,0.0,0.0,0,
baseline,102,0,0.9382392363354756,elderly,15,7,0.0,0.0,0,
baseline,103,0,0.30010692589416543,adult,14,7,0.0,0.0,0,
baseline,104,0,0.8126300272600911,elderly,7,2,0.4768,0.4768,0,
baseline,105,0,0.23441354547710377,adult,3,2,0.4511,0.4511,0,
baseline,106,0,0.5066140359967927,child,9,5,0.4792,0.4792,0,
baseline,107,0,0.5631658536919568,child,4,0,0.5055,0.5055,0,
baseline,108,0,0.23073770055214435,adult,4,8,0.0,0.0,0,
baseline,109,0,0.29657377246189087,adult,2,9,0.0057,0.0057,0,
baseline,110,0,0.27279255604127917,adult,7,4,0.2629,0.2629,0,
baseline,111,0,0.5291861555650081,child,13,5,0.2721,0.2721,0,
baseline,112,0,0.8908951292054481,elderly,16,1,0.5169,0.5169,0,
baseline,113,0,0.5158957569432061,child,12,4,0.3934,0.3934,0,
baseline,114,0,0.8593264155201461,elderly,14,8,0.0483,0.0483,0,
baseline,115,0,0.32052011433136096,adult,18,6,0.2588,0.2588,0,
baseline,116,0,0.5844185905950111,child,19,1,0.5475,0.5475,0,
baseline,117,0,0.24225311600942953,adult,12,5,0.4681,0.4681,0,
baseline,118,0,0.2089072670144541,adult,10,8,0.0,0.0,0,
baseline,119,0,0.9022295288833049,elderly,14,9,0.0007,0.0007,0,
baseline,120,0,0.5289935218684951,child,14,4,0.1687,0.1687,0,
baseline,121,0,0.42582414868915897,adult,5,3,0.2288,0.2288,0,
baseline,122,0,0.321155028793213,adult,6,5,0.1902,0.1902,0,
baseline,123,0,0.6995000220419753,child,14,0,0.5549,0.5549,0,
baseline,124,0,0.562529225395729,child,5,9,0.0,0.0,0,
baseline,125,0,0.8475195178808403,elderly,17,2,0.473,0.473,0,
baseline,126,0,0.5540215869676903,child,15,3,0.2004,0.2004,0,
baseline,127,0,0.766520446349269,elderly,10,9,0.0,0.0,0,
baseline,128,0,0.7416409671545062,elderly,16,9,0.0036,0.0036,0,
baseline,129,0,0.1865474786824886,adult,4,0,0.5055,0.5055,0,
baseline,130,0,0.5991072876975088,child,4,8,0.0,0.0,0,
baseline,131,0,0.6713434192845964,child,1,9,0.0,0.0,0,
baseline,132,0,0.26809246029419453,adult,14,3,0.1603,0.1603,0,
baseline,133,0,0.22890676933880374,adult,3,8,0.0,0.0,0,
baseline,134,0,0.21223556584054845,adult,10,5,0.4188,0.4188,0,
baseline,135,0,0.4871906993496808,child,10,4,0.4084,0.4084,0,
baseline,136,0,0.5813838397364346,child,19,9,0.0757,0.0757,0,
baseline,137,0,0.1834367475007917,adult,17,1,0.5227,0.5227,0,
baseline,138,0,0.30240291417804127,adult,13,6,0.1967,0.1967,0,
baseline,139,0,0.28188702499195395,adult,11,0,0.5351,0.5351,0,
baseline,140,0,0.3042444979413341,adult,13,6,0.1967,0.1967,0,
baseline,141,0,0.2410183959966361,adult,10,5,0.4188,0.4188,0,
baseline,142,0,0.25779477773074466,adult,18,7,0.034,0.034,0,
baseline,143,0,0.2024052019176551,adult,7,8,0.0,0.0,0,
baseline,144,0,0.8349906142726966,elderly,2,5,0.1907,0.1907,0,
baseline,145,0,0.23016660216907392,adult,9,7,0.0173,0.0173,0,
baseline,146,0,0.22633729077264053,adult,12,0,0.5045,0.5045,0,
baseline,147,0,0.18671782350320223,adult,15,5,0.185,0.185,0,
baseline,148,0,0.3265717377596302,adult,9,0,0.4988,0.4988,0,
baseline,149,0,0.5931363866533521,child,7,3,0.1951,0.1951,0,
baseline,150,0,0.33786967348278196,adult,10,7,0.0247,0.0247,0,
baseline,151,0,0.24434311120662164,adult,10,4,0.4084,0.4084,0,
baseline,152,0,0.3131721899623074,adult,3,3,0.1596,0.1596,0,
baseline,153,0,0.30482733918353766,adult,12,7,0.0423,0.0423,0,
baseline,154,0,0.5207407229993698,child,8,8,0.0583,0.0583,0,
baseline,155,0,0.2698840835350667,adult,10,4,0.4084,0.4084,0,
baseline,156,0,0.21854549526592404,adult,14,6,0.2629,0.2629,0,
baseline,157,0,0.7800885741958227,elderly,2,2,0.4366,0.4366,0,
baseline,158,0,0.22376698635368497,adult,19,9,0.0757,0.0757,0,
baseline,159,0,0.2490942753506871,adult,14,5,0.1361,0.1361,0,
baseline,160,0,0.23909707064169694,adult,8,3,0.444,0.444,0,
baseline,161,0,0.26816184340335836,adult,10,9,0.0,0.0,0,
baseline,162,0,0.5590101392326462,child,12,5,0.4681,0.4681,0,
baseline,163,0,0.2586620552478868,adult,12,8,0.0,0.0,0,
baseline,164,0,0.21874748549033007,adult,0,8,0.0,0.0,0,
baseline,165,0,0.26806801780654776,adult,4,2,0.4387,0.4387,0,
baseline,166,0,0.31453748099041595,adult,18,6,0.2588,0.2588,0,
baseline,167,0,0.5571003562232809,child,8,9,0.0327,0.0327,0,
baseline,168,0,0.28556981755657285,adult,18,2,0.5315,0.5315,0,
baseline,169,0,0.20289864310003097,adult,9,9,0.0,0.0,0,
baseline,170,0,0.2591235835153987,adult,14,4,0.1687,0.1687,0,
baseline,171,0,0.5403518780488572,child,11,0,0.5351,0.5351,0,
baseline,172,0,0.19710832762003697,adult,5,7,0.0334,0.0334,0,
baseline,173,0,0.7370654202189683,elderly,17,7,0.0,0.0,0,
baseline,174,0,0.5944522686442528,child,14,7,0.0,0.0,0,
baseline,175,0,0.27508362578769247,adult,12,7,0.0423,0.0423,0,
baseline,176,0,0.19711151507617047,adult,5,5,0.2341,0.2341,0,
baseline,177,0,0.2626617426734974,adult,8,9,0.0327,0.0327,0,
baseline,178,0,0.2950995521960962,adult,0,0,0.5001,0.5001,0,
baseline,179,0,0.3774069229558558,adult,15,3,0.2004,0.2004,0,
baseline,180,0,0.7054964868146433,elderly,14,7,0.0,0.0,0,
baseline,181,0,0.5168708354178837,child,9,7,0.0173,0.0173,0,
baseline,182,0,0.22452710037794926,adult,6,2,0.5064,0.5064,0,
baseline,183,0,0.24281444929542967,adult,18,8,0.0191,0.0191,0,
baseline,184,0,0.20656651882118987,adult,17,2,0.473,0.473,0,
baseline,185,0,0.895735664587469,elderly,6,7,0.0573,0.0573,0,
baseline,186,0,0.26608149821206883,adult,18,4,0.1924,0.1924,0,
baseline,187,0,0.22885027121419005,adult,5,9,0.0,0.0,0,
baseline,188,0,0.25818280463696514,adult,13,2,0.5065,0.5065,0,
baseline,189,0,0.25124888164635667,adult,12,7,0.0423,0.0423,0,
baseline,190,0,0.7388637748744878,elderly,15,1,0.4837,0.4837,0,
baseline,191,0,0.24355609940976028,adult,19,2,0.5483,0.5483,0,
baseline,192,0,0.2622858672661557,adult,12,4,0.3934,0.3934,0,
baseline,193,0,0.3114225338599181,adult,16,3,0.1273,0.1273,0,
baseline,194,0,0.7432938913438611,child,19,2,0.5483,0.5483,0,
baseline,195,0,0.26317722516719005,adult,19,2,0.5483,0.5483,0,
baseline,196,0,0.2246770526955429,adult,1,6,0.1328,0.1328,0,
baseline,197,0,0.5584044178321356,child,5,8,0.0719,0.0719,0,
baseline,198,0,0.2514953170246483,adult,6,5,0.1902,0.1902,0,
baseline,199,0,0.2899733601941726,adult,2,5,0.1907,0.1907,0,
baseline,200,0,0.25622285847923476,adult,12,3,0.3501,0.3501,0,
baseline,201,0,0.4521031631709903,adult,10,2,0.5082,0.5082,0,
baseline,202,0,0.1634121024151908,adult,17,7,0.0,0.0,0,
baseline,203,0,0.5626995559129596,child,3,3,0.1596,0.1596,0,
baseline,204,0,0.327120941806494,adult,2,6,0.0742,0.0742,0,
baseline,205,0,0.7857123878054436,elderly,5,5,0.2341,0.2341,0,
baseline,206,0,0.5939394270629585,child,12,1,0.4704,0.4704,0,
baseline,207,0,0.28709923820747085,adult,18,8,0.0191,0.0191,0,
baseline,208,0,0.39542716557746904,adult,9,9,0.0,0.0,0,
baseline,209,0,0.27359697560694635,adult,10,8,0.0,0.0,0,
baseline,210,0,0.9020130166851742,elderly,7,6,0.1836,0.1836,0,
baseline,211,0,0.2713101047676122,adult,13,6,0.1967,0.1967,0,
baseline,212,0,0.24736743242291168,adult,1,0,0.5245,0.5245,0,
baseline,213,0,0.6794396779816514,elderly,0,0,0.5001,0.5001,0,
baseline,214,0,0.30091251551864373,adult,15,7,0.0,0.0,0,
baseline,215,0,0.21670540748307351,adult,2,0,0.4079,0.4079,0,
baseline,216,0,0.3687606793764565,adult,14,5,0.1361,0.1361,0,
