scenario,agent_id,hour,vulnerability_score,age_bucket,cell_x,cell_y,raw_heat,effective_exposure,in_shelter,shelter_building_id
proactive,0,0,0.5380812195557422,child,8,9,0.0327,0.0327,0,
proactive,1,0,0.5438885528571922,child,16,5,0.1684,0.1684,0,
proactive,2,0,0.7202561588196462,elderly,19,8,0.0,0.0,0,
proactive,3,0,0.216473321571373,adult,14,3,0.1603,0.1603,0,
proactive,4,0,0.179291256914281,adult,15,1,0.4837,0.4837,0,
proactive,5,0,0.7742080791371789,elderly,13,0,0.4577,0.4577,0,
proactive,6,0,0.6860132284779408,elderly,17,0,0.4624,0.4624,0,
proactive,7,0,0.24933523196076668,adult,3,1,0.4761,0.4761,0,
proactive,8,0,0.6343234811450121,child,6,6,0.2449,0.2449,0,
proactive,9,0,0.2937927377360272,adult,1,1,0.5178,0.5178,0,
proactive,10,0,0.29067965400666446,adult,9,1,0.5334,0.5334,0,
proactive,11,0,0.29337902378575376,adult,11,2,0.4483,0.4483,0,
proactive,12,0,0.2580821854764632,adult,8,2,0.5176,0.5176,0,
proactive,13,0,0.23208808428151181,adult,7,6,0.1836,0.1836,0,
proactive,14,0,0.22746461649058938,adult,5,5,0.2341,0.2341,0,
proactive,15,0,0.4919996898463789,child,16,1,0.5169,0.5169,0,
proactive,16,0,0.7297879386484595,child,14,9,0.0007,0.0007,0,
proactive,17,0,0.6910243835711712,elderly,9,9,0.0,0.0,0,
proactive,18,0,0.27290224990437284,adult,12,4,0.3934,0.3934,0,
proactive,19,0,0.5918994514851882,child,11,9,0.0096,0.0096,0,
proactive,20,0,0.20000931813748296,adult,6,6,0.2449,0.2449,0,
proactive,21,0,0.2566225962051309,adult,9,1,0.5334,0.5334,0,
proactive,22,0,0.2636593411524598,adult,11,0,0.5351,0.5351,0,
proactive,23,0,0.6949427075347202,child,0,4,0.1773,0.1773,0,
proactive,24,0,0.36652485810151314,adult,13,1,0.5389,0.5389,0,
proactive,25,0,0.2443193234562278,adult,6,4,0.171,0.171,0,
proactive,26,0,0.3010033863387559,adult,13,5,0.2721,0.2721,0,
proactive,27,0,0.264862699158784,adult,11,2,0.4483,0.4483,0,
proactive,28,0,0.25879019854094,adult,3,2,0.4511,0.4511,0,
proactive,29,0,0.31974955111962444,adult,1,7,0.0,0.0,0,
proactive,30,0,0.1555928571749553,adult,6,4,0.171,0.171,0,
proactive,31,0,0.548458082951535,child,8,1,0.4848,0.4848,0,
proactive,32,0,0.2544761312097897,adult,18,3,0.1849,0.1849,0,
proactive,33,0,0.3227939887511161,adult,12,1,0.4704,0.4704,0,
proactive,34,0,0.6558716694259125,child,6,8,0.0,0.0,0,
proactive,35,0,0.5492700374659585,child,4,4,0.2679,0.2679,0,
proactive,36,0,0.28742961388729216,adult,9,8,0.0,0.0,0,
proactive,37,0,0.862770385621313,elderly,3,2,0.4511,0.4511,0,
proactive,38,0,0.23693857704201632,adult,9,5,0.4792,0.4792,0,
proactive,39,0,0.2454791545887237,adult,5,4,0.1906,0.1906,0,
proactive,40,0,0.583334998890488,child,10,1,0.455,0.455,0,
proactive,41,0,0.2636638551640602,adult,13,9,0.0,0.0,0,
proactive,42,0,0.9350941601422765,elderly,3,1,0.4761,0.4761,0,
proactive,43,0,0.21562936030731708,adult,1,6,0.1328,0.1328,0,
proactive,44,0,0.5397436170004551,child,19,3,0.193,0.193,0,
proactive,45,0,0.18354442553252845,adult,17,2,0.473,0.473,0,
proactive,46,0,0.27255587776068274,adult,11,0,0.5351,0.5351,0,
proactive,47,0,0.30152879677991906,adult,6,5,0.1902,0.1902,0,
proactive,48,0,0.2424720207354753,adult,12,8,0.0,0.0,0,
proactive,49,0,0.7645513584523809,elderly,18,1,0.4746,0.4746,0,
proactive,50,0,0.41514306586559097,adult,9,8,0.0,0.0,0,
proactive,51,0,0.2061884568547753,adult,1,1,0.5178,0.5178,0,
proactive,52,0,0.31853752554381776,adult,12,3,0.3501,0.3501,0,
proactive,53,0,0.2638404878487771,adult,17,7,0.0,0.0,0,
proactive,54,0,0.21400695401395703,adult,4,0,0.5055,0.5055,0,
proactive,55,0,0.3026292881022382,adult,17,3,0.1929,0.1929,0,
proactive,56,0,0.7372548908762495,elderly,4,0,0.5055,0.5055,0,
proactive,57,0,0.2208870448850433,adult,18,8,0.0191,0.0191,0,
proactive,58,0,0.3144823244892736,adult,7,2,0.4768,0.4768,0,
proactive,59,0,0.22063955497119142,adult,14,6,0.2629,0.2629,0,
proactive,60,0,0.5166058535491507,child,10,5,0.4188,0.4188,0,
proactive,61,0,0.23464792877787313,adult,7,3,0.1951,0.1951,0,
proactive,62,0,0.7780271499327811,elderly,15,3,0.2004,0.2004,0,
proactive,63,0,0.7701272985546185,elderly,15,7,0.0,0.0,0,
proactive,64,0,0.260395348860413,adult,3,9,0.0,0.0,0,
proactive,65,0,0.18124989624959473,adult,0,6,0.203,0.203,0,
proactive,66,0,0.7479987221088478,elderly,14,2,0.4974,0.4974,0,
proactive,67,0,0.2747694705910339,adult,19,0,0.4309,0.4309,0,
proactive,68,0,0.2623728676439467,adult,13,3,0.1232,0.1232,0,
proactive,69,0,0.3475954363017591,adult,13,3,0.1232,0.1232,0,
proactive,70,0,0.18683697056304266,adult,17,4,0.1446,0.1446,0,
proactive,71,0,0.2252873014963322,adult,4,8,0.0,0.0,0,
proactive,72,0,0.3073174185068305,adult,11,5,0.3973,0.3973,0,
proactive,73,0,0.28651314785661347,adult,16,5,0.1684,0.1684,0,
proactive,74,0,0.7497164804572996,elderly,10,3,0.5622,0.5622,0,
proactive,75,0,0.8576126643135189,elderly,19,8,0.0,0.0,0,
proactive,76,0,0.24339714453787592,adult,17,4,0.1446,0.1446,0,
proactive,77,0,0.5658695094941405,child,16,3,0.1273,0.1273,0,
proactive,78,0,0.2557292455827229,adult,8,8,0.0583,0.0583,0,
proactive,79,0,0.31274852127145286,adult,2,8,0.0,0.0,0,
proactive,80,0,0.24192319037630758,adult,0,9,0.0,0.0,0,
proactive,81,0,0.7495257436955758,elderly,12,2,0.4941,0.4941,0,
proactive,82,0,0.2094635281564155,adult,13,2,0.5065,0.5065,0,
proactive,83,0,0.2368250785688548,adult,13,0,0.4577,0.4577,0,
proactive,84,0,0.7597628712547879,elderly,14,1,0.4729,0.4729,0,
proactive,85,0,0.2134449412553841,adult,12,7,0.0423,0.0423,0,
proactive,86,0,0.26029034175119803,adult,8,0,0.4786,0.4786,0,
proactive,87,0,0.8739793646798583,elderly,10,0,0.4848,0.4848,0,
proactive,88,0,0.23068402377938965,adult,16,6,0.1119,0.1119,0,
proactive,89,0,0.21593278881496686,adult,11,1,0.526,0.526,0,
proactive,90,0,0.7286621276353521,elderly,8,7,0.0,0.0,0,
proactive,91,0,0.2651344904420061,adult,5,7,0.0334,0.0334,0,
proactive,92,0,0.20377115206369537,adult,14,7,0.0,0.0,0,
proactive,93,0,0.20132533923371512,adult,15,7,0.0,0.0,0,
proactive,94,0,0.7049720665964455,elderly,15,0,0.4653,0.4653,0,
proactive,95,0,0.25100462370739207,adult,1,3,0.1535,0.1535,0,
proactive,96,0,0.4955828490431283,child,15,1,0.4837,0.4837,0,
proactive,97,0,0.27283994893939245,adult,7,8,0.0,0.0,0,
proactive,98,0,0.21712454129440448,adult,10,1,0.455,0.455,0,
proactive,99,0,0.7185461557640977,elderly,9,7,0.0173,0.0173,0,
proactive,100,0,0.4754623971272218,child,4,9,0.1,0.1,0,
proactive,101,0,0.814329171491318,elderly,1,9,0.0,0.0,0,
proactive,102,0,0.9382392363354756,elderly,15,7,0.0,0.0,0,
proactive,103,0,0.30010692589416543,adult,14,7,0.0,0.0,0,
proactive,104,0,0.8126300272600911,elderly,7,2,0.4768,0.4768,0,
proactive,105,0,0.23441354547710377,adult,3,2,0.4511,0.4511,0,
proactive,106,0,0.5066140359967927,child,9,5,0.4792,0.4792,0,
proactive,107,0,0.5631658536919568,child,4,0,0.5055,0.5055,0,
proactive,108,0,0.23073770055214435,adult,4,8,0.0,0.0,0,
proactive,109,0,0.29657377246189087,adult,2,9,0.0057,0.0057,0,
proactive,110,0,0.27279255604127917,adult,7,4,0.2629,0.2629,0,
proactive,111,0,0.5291861555650081,child,13,5,0.2721,0.2721,0,
proactive,112,0,0.8908951292054481,elderly,16,1,0.5169,0.5169,0,
proactive,113,0,0.5158957569432061,child,12,4,0.3934,0.3934,0,
proactive,114,0,0.8593264155201461,elderly,14,8,0.0483,0.0483,0,
proactive,115,0,0.32052011433136096,adult,18,6,0.2588,0.2588,0,
proactive,116,0,0.5844185905950111,child,19,1,0.5475,0.5475,0,
proactive,117,0,0.24225311600942953,adult,12,5,0.4681,0.4681,0,
proactive,118,0,0.2089072670144541,adult,10,8,0.0,0.0,0,
proactive,119,0,0.9022295288833049,elderly,14,9,0.0007,0.0007,0,
proactive,120,0,0.5289935218684951,child,14,4,0.1687,0.1687,0,
proactive,121,0,0.42582414868915897,adult,5,3,0.2288,0.2288,0,
proactive,122,0,0.321155028793213,adult,6,5,0.1902,0.1902,0,
proactive,123,0,0.6995000220419753,child,14,0,0.5549,0.5549,0,
proactive,124,0,0.562529225395729,child,5,9,0.0,0.0,0,
proactive,125,0,0.8475195178808403,elderly,17,2,0.473,0.473,0,
proactive,126,0,0.5540215869676903,child,15,3,0.2004,0.2004,0,
proactive,127,0,0.766520446349269,elderly,10,9,0.0,0.0,0,
proactive,128,0,0.7416409671545062,elderly,16,9,0.0036,0.0036,0,
proactive,129,0,0.1865474786824886,adult,4,0,0.5055,0.5055,0,
proactive,130,0,0.5991072876975088,child,4,8,0.0,0.0,0,
proactive,131,0,0.6713434192845964,child,1,9,0.0,0.0,0,
proactive,132,0,0.26809246029419453,adult,14,3,0.1603,0.1603,0,
proactive,133,0,0.22890676933880374,adult,3,8,0.0,0.0,0,
proactive,134,0,0.21223556584054845,adult,10,5,0.4188,0.4188,0,
proactive,135,0,0.4871906993496808,child,10,4,0.4084,0.4084,0,
proactive,136,0,0.5813838397364346,child,19,9,0.0757,0.0757,0,
proactive,137,0,0.1834367475007917,adult,17,1,0.5227,0.5227,0,
proactive,138,0,0.30240291417804127,adult,13,6,0.1967,0.1967,0,
proactive,139,0,0.28188702499195395,adult,11,0,0.5351,0.5351,0,
proactive,140,0,0.3042444979413341,adult,13,6,0.1967,0.1967,0,
proactive,141,0,0.2410183959966361,adult,10,5,0.4188,0.4188,0,
proactive,142,0,0.25779477773074466,adult,18,7,0.034,0.034,0,
