building_id,hour,max_occupants,cooling_kwh,emissions_intensity
SH_MITSUKOSHI,0,7,15.259,0.4367
SH_MITSUKOSHI,1,7,15.259,0.4348
SH_MITSUKOSHI,2,7,15.259,0.5049
SH_MITSUKOSHI,3,7,15.259,0.5309
SH_MITSUKOSHI,4,7,15.259,0.4462
SH_MITSUKOSHI,5,7,15.259,0.4483
SH_MITSUKOSHI,6,7,15.259,0.5132
SH_MITSUKOSHI,7,28,27.107,0.4812
SH_MITSUKOSHI,8,28,38.148,0.474
SH_MITSUKOSHI,9,28,47.629,0.4654
SH_MITSUKOSHI,10,28,54.903,0.4283
SH_MITSUKOSHI,11,28,59.477,0.4791
SH_MITSUKOSHI,12,28,61.036,0.4592
SH_MITSUKOSHI,13,28,59.477,0.4706
SH_MITSUKOSHI,14,28,54.903,0.4902
SH_MITSUKOSHI,15,28,47.629,0.5089
SH_MITSUKOSHI,16,28,38.148,0.5012
SH_MITSUKOSHI,17,28,27.107,0.5166
SH_MITSUKOSHI,18,28,15.259,0.4224
SH_MITSUKOSHI,19,28,15.259,0.5051
SH_MITSUKOSHI,20,28,15.259,0.4905
SH_MITSUKOSHI,21,28,15.259,0.5307
SH_MITSUKOSHI,22,7,15.259,0.5421
SH_MITSUKOSHI,23,7,15.259,0.4217
SH_COREDO,0,10,16.427,0.4529
SH_COREDO,1,10,16.427,0.5012
SH_COREDO,2,10,16.427,0.5194
SH_COREDO,3,10,16.427,0.5301
SH_COREDO,4,10,16.427,0.5423
SH_COREDO,5,10,16.427,0.5025
SH_COREDO,6,10,16.427,0.5317
SH_COREDO,7,40,29.182,0.4847
SH_COREDO,8,40,41.068,0.4503
SH_COREDO,9,40,51.274,0.4408
SH_COREDO,10,40,59.106,0.4847
SH_COREDO,11,40,64.029,0.5169
SH_COREDO,12,40,65.708,0.4784
SH_COREDO,13,40,64.029,0.5086
SH_COREDO,14,40,59.106,0.4363
SH_COREDO,15,40,51.274,0.5463
SH_COREDO,16,40,41.068,0.4816
SH_COREDO,17,40,29.182,0.5275
SH_COREDO,18,40,16.427,0.5148
SH_COREDO,19,40,16.427,0.5215
SH_COREDO,20,40,16.427,0.4698
SH_COREDO,21,40,16.427,0.4344
SH_COREDO,22,10,16.427,0.4792
SH_COREDO,23,10,16.427,0.4631
SH_BANK_HALL,0,8,17.453,0.4602
SH_BANK_HALL,1,8,17.453,0.5217
SH_BANK_HALL,2,8,17.453,0.4416
SH_BANK_HALL,3,8,17.453,0.4972
SH_BANK_HALL,4,8,17.453,0.4651
SH_BANK_HALL,5,8,17.453,0.4515
SH_BANK_HALL,6,8,17.453,0.471
SH_BANK_HALL,7,34,31.004,0.5415
SH_BANK_HALL,8,34,43.632,0.4952
SH_BANK_HALL,9,34,54.476,0.4874
SH_BANK_HALL,10,34,62.796,0.5245
SH_BANK_HALL,11,34,68.027,0.4855
SH_BANK_HALL,12,34,69.811,0.4346
SH_BANK_HALL,13,34,68.027,0.437
SH_BANK_HALL,14,34,62.796,0.5134
SH_BANK_HALL,15,34,54.476,0.4807
SH_BANK_HALL,16,34,43.632,0.4471
SH_BANK_HALL,17,34,31.004,0.5457
SH_BANK_HALL,18,34,17.453,0.4551
SH_BANK_HALL,19,34,17.453,0.5218
SH_BANK_HALL,20,34,17.453,0.4612
SH_BANK_HALL,21,34,17.453,0.517
SH_BANK_HALL,22,8,17.453,0.4886
SH_BANK_HALL,23,8,17.453,0.4247
SH_SUBWAY_EXIT,0,8,15.705,0.458
SH_SUBWAY_EXIT,1,8,15.705,0.4765
SH_SUBWAY_EXIT,2,8,15.705,0.5128
SH_SUBWAY_EXIT,3,8,15.705,0.5494
SH_SUBWAY_EXIT,4,8,15.705,0.4781
SH_SUBWAY_EXIT,5,8,15.705,0.5074
SH_SUBWAY_EXIT,6,8,15.705,0.4831
SH_SUBWAY_EXIT,7,35,27.9,0.5066
SH_SUBWAY_EXIT,8,35,39.263,0.4407
SH_SUBWAY_EXIT,9,35,49.021,0.5492
SH_SUBWAY_EXIT,10,35,56.509,0.4387
SH_SUBWAY_EXIT,11,35,61.215,0.5068
SH_SUBWAY_EXIT,12,35,62.821,0.4286
SH_SUBWAY_EXIT,13,35,61.215,0.4314
SH_SUBWAY_EXIT,14,35,56.509,0.5336
SH_SUBWAY_EXIT,15,35,49.021,0.5175
SH_SUBWAY_EXIT,16,35,39.263,0.4325
SH_SUBWAY_EXIT,17,35,27.9,0.4565
SH_SUBWAY_EXIT,18,35,15.705,0.4291
SH_SUBWAY_EXIT,19,35,15.705,0.5416
SH_SUBWAY_EXIT,20,35,15.705,0.5301
SH_SUBWAY_EXIT,21,35,15.705,0.521
SH_SUBWAY_EXIT,22,8,15.705,0.5108
SH_SUBWAY_EXIT,23,8,15.705,0.5074
SH_BRIDGE_PLAZA,0,11,11.604,0.4591
SH_BRIDGE_PLAZA,1,11,11.604,0.495
SH_BRIDGE_PLAZA,2,11,11.604,0.5278
SH_BRIDGE_PLAZA,3,11,11.604,0.4776
SH_BRIDGE_PLAZA,4,11,11.604,0.4524
SH_BRIDGE_PLAZA,5,11,11.604,0.5025
SH_BRIDGE_PLAZA,6,11,11.604,0.5437
SH_BRIDGE_PLAZA,7,45,20.613,0.4831
SH_BRIDGE_PLAZA,8,45,29.009,0.4931
SH_BRIDGE_PLAZA,9,45,36.219,0.4577
SH_BRIDGE_PLAZA,10,45,41.751,0.518
SH_BRIDGE_PLAZA,11,45,45.228,0.439
SH_BRIDGE_PLAZA,12,45,46.414,0.507
SH_BRIDGE_PLAZA,13,45,45.228,0.4484
SH_BRIDGE_PLAZA,14,45,41.751,0.5078
SH_BRIDGE_PLAZA,15,45,36.219,0.4853
SH_BRIDGE_PLAZA,16,45,29.009,0.5272
SH_BRIDGE_PLAZA,17,45,20.613,0.4936
SH_BRIDGE_PLAZA,18,45,11.604,0.5379
SH_BRIDGE_PLAZA,19,45,11.604,0.4786
SH_BRIDGE_PLAZA,20,45,11.604,0.422
SH_BRIDGE_PLAZA,21,45,11.604,0.5468
SH_BRIDGE_PLAZA,22,11,11.604,0.5199
SH_BRIDGE_PLAZA,23,11,11.604,0.5269
